Rank,Company,RevenueMil,RevenuePerCng,ProfitsMil,ProfitsPerCng,AssetsMil,EmployeeCount,RankCng,YearsOnList,Hqcity,HqCountry,IndustrySector
254,Nationwide,54609,0.06,-45,-1.05,290615,24118,21,30,Columbus,United States,Insurance: Property and Casualty (Mutual)
255,Charter Communications,54607,0.01,4557,-0.1,147193,101100,6,8,Stamford,United States,Telecommunications
256,State Power Investment,54485,0.01,1616,1.17,247045,127514,6,13,Beijing,China,Utilities
257,Edeka Zentrale,54455,0.1,462,0.03,11957,410700,31,26,Hamburg,Germany,Food & Drug Stores
258,Bharat Petroleum,54413,-0.08,3245,11.23,24288,8511,-25,21,Mumbai,India,Petroleum Refining
259,AbbVie,54318,-0.06,4863,-0.59,134711,50000,-19,9,North Chicago,United States,Pharmaceuticals
260,New York Life Insurance,54317,-0.07,805,,408905,15384,-22,30,New York,United States,Life and Health Insurance
261,Intel,54228,-0.14,1689,-0.79,191572,124800,-50,30,Santa Clara,United States,Semiconductors and Other Electronic Components
262,TJX,54217,0.09,4474,0.28,29747,349000,23,23,Framingham,United States,Specialty Retailers: Other
263,Novartis,54088,0.04,14850,1.14,99945,76057,8,30,Basel,Switzerland,Pharmaceuticals
264,Rio Tinto Group,54041,-0.03,10058,-0.19,103549,57174,-10,19,London,United Kingdom,"Mining, Crude-Oil Production"
265,Tsingshan Holding Group,53980,-0.01,1554,0.07,20647,107805,-8,6,Wenzhou,China,Materials
266,Prudential Financial,53979,-0.1,2488,,721123,40366,-39,30,Newark,United States,Life and Health Insurance
267,COSCO Shipping,53930,-0.42,3584,-0.43,151545,106221,-152,17,Shanghai,China,Transportation
268,BHP Group,53817,-0.25,12921,-0.58,101296,42319,-88,30,Melbourne,Australia,"Mining, Crude-Oil Production"
269,HP,53718,-0.15,3263,0.04,37004,58000,-56,30,Palo Alto,United States,"Computers, Office Equipment"
270,United Airlines Holdings,53717,0.2,2618,2.55,71104,103300,56,27,Chicago,United States,Transportation
271,Tata Motors,53635,0.23,3794,11.62,44476,91496,66,15,Mumbai,India,Motor Vehicles & Parts
272,Performance Food Group,53355,0.13,397,2.53,12499,34825,32,4,Richmond,United States,Wholesalers: Food
273,Iberdrola,53334,-0.06,5192,0.14,165709,41448,-27,20,Bilbao,Spain,Utilities
274,Deutsche Bahn,53198,-0.1,-2566,,85567,326781,-42,30,Berlin,Germany,Transportation
275,Idemitsu Kosan,53043,-0.14,1581,-0.16,33146,16571,-54,30,Tokyo,Japan,Petroleum Refining
276,Tyson Foods,52881,-0.01,-648,-1.2,36251,139000,-10,23,Springdale,United States,Food Production
277,Midea Group,52790,0.03,4763,0.08,68477,198613,1,9,Foshan,China,Household Products
278,American Airlines Group,52788,0.08,822,5.47,63058,132100,13,29,Fort Worth,United States,Transportation
279,China United Network Communications,52632,0,1155,0.06,93387,242891,-12,16,Beijing,China,Telecommunications
280,Liberty Mutual Insurance Group,52612,0.05,213,-0.49,165208,45000,4,30,Boston,United States,Insurance: Property and Casualty (Stock)
281,Bank of Nova Scotia,52536,0.44,5495,-0.29,1016565,89483,134,27,Toronto,Canada,Commercial Banks
282,Volvo,52102,0.11,4696,0.45,66906,97440,25,30,Gothenburg,Sweden,Motor Vehicles & Parts
283,Intesa Sanpaolo,52004,0.34,8350,0.82,1064248,94368,100,26,Turin,Italy,Commercial Banks
284,Saint-Gobain,51830,-0.04,2918,-0.08,63286,144422,-21,30,Courbevoie,France,"Building Materials, Glass"
285,Shaanxi Yanchang Petroleum (Group),51526,-0.01,997,0.15,68398,130427,-16,12,Xi'an,China,Petroleum Refining
286,Bayer,51498,-0.04,-3179,-1.73,128406,99723,-21,30,Leverkusen,Germany,Pharmaceuticals
287,Tokio Marine Holdings,51372,0.05,4814,0.73,202320,43870,3,30,Tokyo,Japan,Insurance: Property and Casualty (Stock)
288,Nike,51217,0.1,5070,-0.16,37531,83700,20,18,Beaverton,United States,Apparel
289,Maersk Group,51065,-0.37,3822,-0.87,82100,105909,-138,21,Copenhagen,Denmark,Transportation
290,Phoenix Pharma,50935,0.34,235,-0.07,15538,41276,98,14,Mannheim,Germany,Wholesalers: Health Care
291,Greenland Holding Group,50897,-0.22,-1350,-9.99,168210,59970,-86,13,Shanghai,China,Real Estate
292,Shanghai Pudong Development Bank,50865,-0.06,5185,-0.32,1269020,63582,-32,12,Shanghai,China,Commercial Banks
293,Louis Dreyfus,50624,-0.16,1013,0.01,22076,17017,-65,11,Rotterdam,Netherlands,Food Production
294,Bank of Montreal,50495,0.45,3237,-0.69,931889,55767,139,14,Montreal,Canada,Commercial Banks
295,ZF Friedrichshafen,50407,0.09,-34,-1.14,43263,165938,20,11,Friedrichshafen,Germany,Motor Vehicles & Parts
296,KB Financial Group,50228,0.15,3547,0.04,552514,25003,43,12,Seoul,South Korea,Commercial Banks
297,Sanofi,50209,0.05,5838,-0.34,139678,86088,2,20,Paris,France,Pharmaceuticals
298,Marubeni,50167,-0.26,3262,-0.19,59011,53804,-108,30,Tokyo,Japan,Trading
299,Oracle,49954,0.18,8503,0.27,134384,164000,53,18,Austin,United States,Computer Software
300,Jinchuan Group,49901,0.01,1360,0.22,21777,31025,-11,6,Jinchang,China,"Mining, Crude-Oil Production"
301,Swiss Re,49800,0.08,3214,5.81,179576,14719,15,30,Zurich,Switzerland,Insurance: Property and Casualty (Stock)
302,Chubb,49735,0.15,9028,0.7,230682,40000,40,8,Zurich,Switzerland,Insurance: Property and Casualty (Stock)
303,Enterprise Products Partners,49715,-0.15,5532,0.01,70982,7500,-64,14,Houston,United States,Utilities
304,Capital One Financial,49484,0.29,4887,-0.34,478464,51987,82,14,McLean,United States,Commercial Banks
305,Denso,49435,0.05,2164,-0.07,60133,162029,-2,30,Kariya,Japan,Motor Vehicles & Parts
306,HDFC Bank,49299,0.93,7741,0.35,483579,213527,,1,Mumbai,India,Commercial Banks
307,China National Building Material Group,49089,-0.13,198,-0.69,99340,206518,-60,14,Beijing,China,"Building Materials, Glass"
308,Veolia Environnement,49027,0.09,1013,0.35,80148,218288,16,22,Aubervilliers,France,Utilities
309,China State Shipbuilding,48890,-0.06,2408,-0.11,143708,196309,-37,4,Beijing,China,Aerospace & Defense
310,Vodafone Group,48872,0.03,1236,-0.9,155751,96282,-8,25,Newbury,United Kingdom,Telecommunications
311,Plains GP Holdings,48712,-0.15,198,0.18,28597,4200,-68,9,Houston,United States,Utilities
312,Landesbank Baden-Wurttemberg,48567,1.38,1080,-0.32,368130,10434,,17,Stuttgart,Germany,Commercial Banks
313,EXOR Group,48369,0.05,4534,0.02,104682,83773,4,14,Turin,Italy,Diversified Financials
314,Jingye Group,48120,0.05,249,-0.24,13370,33000,6,4,Shijiazhuang,China,Materials
315,UniCredit Group,48044,0.68,10278,0.51,866991,70752,,27,Milan,Italy,Commercial Banks
316,Energie Baden-Wurttemberg,48032,-0.19,1662,-0.09,71481,26943,-79,14,Karlsruhe,Germany,Utilities
317,Tokyo Electric Power,47869,-0.17,1853,,96518,38183,-75,30,Tokyo,Japan,Utilities
318,Sumitomo,47813,-0.05,2673,-0.36,72957,79692,-36,30,Tokyo,Japan,Trading
319,World Kinect,47711,-0.19,53,-0.54,7375,5289,-85,12,Miami,United States,Wholesalers: Diversified
320,Orange,47699,0.04,2638,0.17,121551,127109,-1,30,Paris,France,Telecommunications
321,HD Hyundai,46959,0,203,-0.81,52479,34097,-16,2,Ulsan,South Korea,Shipbuilding
322,Ingka Group,46938,0.02,1597,4.07,61283,165353,-8,4,Leiden,Netherlands,Specialty Retailers: Other
323,ANZ Group Holdings,46828,1.34,4724,-0.07,712706,40342,,17,Melbourne,Australia,Commercial Banks
324,AIG,46802,-0.17,3643,-0.65,539306,25200,-76,29,New York,United States,Insurance: Property and Casualty (Stock)
325,SoftBank Group,46749,-0.04,-1575,,308982,65352,-30,17,Tokyo,Japan,Internet Services and Retailing
326,Sinomach,46482,-0.09,182,,45848,117357,-47,14,Beijing,China,Construction and Farm Machinery
327,Talanx,46156,-0.18,1709,0.39,187041,27863,-78,11,Hanover,Germany,Insurance: Property and Casualty (Stock)
328,America Movil,46011,0.08,4292,0.13,92397,176083,21,18,Mexico City,Mexico,Telecommunications
329,AstraZeneca,45811,0.03,5955,0.81,101119,89900,2,23,Cambridge,United Kingdom,Pharmaceuticals
330,Zhejiang Communications Investment Group,45772,-0.02,764,-0.11,131773,43266,-20,4,Hangzhou,China,Engineering & Construction
331,China Pacific Insurance (Group),45760,-0.32,3850,0.05,330238,98732,-139,14,Shanghai,China,Life and Health Insurance
332,Coca-Cola,45754,0.06,10714,0.12,97703,79100,12,30,Atlanta,United States,"Food, Beverages & Tobacco"
333,TIAA,45735,0.12,-1409,-3.85,629370,16023,33,27,New York,United States,Life and Health Insurance
334,Caixa Economica Federal,45707,0.23,2350,0.24,377308,86962,72,4,Brasília,Brazil,Commercial Banks
335,CHS,45590,-0.05,1900,0.13,18957,10609,-37,17,Inver Grove Heights,United States,Food Production
336,China Huadian,45534,0.01,1910,0.87,154661,93459,-13,13,Beijing,China,Utilities
337,Credit Mutuel Group,45490,0.59,4262,0.22,1008980,77283,,1,Strasbourg,France,Commercial Banks
338,MS&AD Insurance Group Holdings,45478,0.17,2555,1.14,178285,38391,46,26,Tokyo,Japan,Insurance: Property and Casualty (Stock)
339,Hyundai Mobis,45369,0.13,2621,0.36,45225,46183,33,13,Seoul,South Korea,Motor Vehicles & Parts
340,Susun Construction Group,45265,-0.02,1142,-0.16,33331,141256,-27,3,Nanjing,China,Engineering & Construction
341,SNCF Group,45145,0.04,1416,-0.45,143865,282786,-1,30,Saint-Denis,France,Transportation
342,Bristol-Myers Squibb,45006,-0.03,8025,0.27,95159,34100,-30,21,New York,United States,Pharmaceuticals
343,China South Industries Group,44790,0.03,1137,0.12,65365,159837,-2,15,Beijing,China,Motor Vehicles & Parts
344,Continental,44778,0.08,1250,16.85,41697,202763,18,22,Hanover,Germany,Motor Vehicles & Parts
345,Raizen,44694,-0.06,106,-0.78,25559,45417,-44,3,São Paulo,Brazil,Petroleum Refining
346,Dow,44622,-0.22,589,-0.87,57967,35900,-101,5,Midland,United States,Chemicals
347,George Weston,44560,0.02,1141,-0.18,37750,220280,-11,30,Toronto,Canada,Food & Drug Stores
348,L'Oreal,44521,0.11,6685,0.11,57273,94605,22,30,Clichy,France,Household Products
349,Fomento Economico Mexicano,44168,0.32,3704,2.12,47602,392932,105,5,Monterrey,Mexico,"Food, Beverages & Tobacco"
350,Telefonica,43947,0.05,-964,-1.46,115224,104142,5,30,Madrid,Spain,Telecommunications
351,China Minsheng Banking,43554,-0.02,5060,-0.04,1081316,63742,-22,12,Beijing,China,Commercial Banks
352,Best Buy,43452,-0.06,1241,-0.13,14967,85000,-41,26,Richfield,United States,Specialty Retailers: Other
353,Woolworths Group,43257,-0.02,1089,-0.81,22413,200364,-18,28,Sydney,Australia,Food & Drug Stores
354,Shanghai Construction Group,43031,0.01,220,0.09,53830,51272,-3,5,Shanghai,China,Engineering & Construction
355,LG Chem,42922,0.07,1024,-0.28,59801,40000,16,5,Seoul,South Korea,Chemicals
356,Thermo Fisher Scientific,42857,-0.05,5995,-0.14,98726,122000,-28,5,Waltham,United States,Medical Products
357,Magna International,42797,0.13,1213,1.05,32255,166000,37,24,Aurora,Canada,Motor Vehicles & Parts
358,OMV Group,42662,-0.35,1678,-0.57,55957,20592,-155,16,Vienna,Austria,Petroleum Refining
359,Massachusetts Mutual Life Insurance,42641,0.06,-772,-1.52,397895,11323,10,27,Springfield,United States,Life and Health Insurance
360,USAA,42493,0.17,1214,,211638,37376,57,11,San Antonio,United States,Insurance: Property and Casualty (Mutual)
361,Guangzhou Municipal Construction Group,42403,0.08,152,0.02,29897,50608,19,4,Guangzhou,China,Engineering & Construction
362,General Dynamics,42272,0.07,3315,-0.02,54810,111600,17,24,Reston,United States,Aerospace & Defense
363,Vale,41784,-0.06,7983,-0.58,94186,66807,-31,18,Rio de Janeiro,Brazil,"Mining, Crude-Oil Production"
364,Zijin Mining Group,41446,0.03,2983,0,48326,55239,9,4,Longyan,China,"Mining, Crude-Oil Production"
365,Travelers,41364,0.12,2991,0.05,125978,33133,44,21,New York,United States,Insurance: Property and Casualty (Stock)
366,Warner Bros. Discovery,41321,0.22,-3126,,122757,35300,83,2,New York,United States,Media
367,Canadian Imperial Bank of Commerce,41170,0.69,3704,-0.23,703069,48074,,15,Toronto,Canada,Commercial Banks
368,LyondellBasell Industries,41107,-0.19,2114,-0.46,37000,20000,-87,17,Houston,United States,Chemicals
369,J. Sainsbury,41088,0.08,172,-0.31,31667,100000,21,30,London,United Kingdom,Food & Drug Stores
370,Shenzhen Investment Holdings,41025,0.08,1413,0.56,162425,103928,21,5,Shenzhen,China,Diversified Financials
371,Ansteel Group,40685,-0.19,-83,-1.14,68003,149765,-88,11,Anshan,China,Materials
372,Hanwha,40683,-0.16,291,-0.71,161908,69345,-76,19,Seoul,South Korea,Diversified
373,U.S. Bancorp,40624,0.48,5429,-0.07,663491,75465,,17,Minneapolis,United States,Commercial Banks
374,Lufthansa Group,40455,0.17,1809,1.17,50056,79759,65,28,Cologne,Germany,Transportation
375,Pegatron,40357,-0.09,505,-0.01,18176,147360,-42,12,Taipei,Taiwan,"Electronics, Electrical Equipment"
376,Abbott Laboratories,40109,-0.08,5723,-0.18,73214,114000,-38,26,Abbott Park,United States,Medical Products
377,ThyssenKrupp,40028,-0.1,-2210,-2.8,35229,99981,-47,30,Essen,Germany,Materials
378,New Hope Holding Group,39988,-0.04,-93,-12.99,41771,79066,-15,4,Chengdu,China,Food Production
379,KDDI,39813,-0.05,4414,-0.12,93546,61288,-22,27,Tokyo,Japan,Telecommunications
380,China National Nuclear,39633,0.02,1297,0.01,188569,182750,1,5,Beijing,China,Utilities
381,Taikang Insurance Group,39412,0.13,1786,0.11,235069,55408,50,7,Beijing,China,Life and Health Insurance
382,Northrop Grumman,39290,0.07,2056,-0.58,46544,101000,31,25,Falls Church,United States,Aerospace & Defense
383,Jiangsu Shagang Group,39241,-0.08,228,-0.59,51668,44004,-35,16,Zhangjiagang,China,Materials
384,Meituan,39093,0.2,1957,,41285,114860,83,2,Beijing,China,Internet Services and Retailing
385,Chery Holding Group,39092,0.75,586,0.83,37347,56584,,1,Wuhu,China,Motor Vehicles & Parts
386,Inditex,38903,0.14,5824,0.35,35555,114510,58,8,Arteixo,Spain,Apparel
387,Schneider Electric,38812,0.08,4328,0.18,65053,168044,34,23,Rueil-Malmaison,France,"Electronics, Electrical Equipment"
388,Northwestern Mutual,38788,0.05,711,-0.22,358829,8239,20,30,Milwaukee,United States,Life and Health Insurance
389,Dollar General,38692,0.02,1661,-0.31,30796,185800,4,7,Goodlettsville,United States,Specialty Retailers: Other
390,Cenovus Energy,38690,-0.25,3045,-0.39,40894,6925,-113,3,Calgary,Canada,Petroleum Refining
391,ACS,38635,0.09,843,0.2,40312,122979,37,20,Madrid,Spain,Engineering & Construction
392,Coop Group,38583,0.08,640,0.09,26139,82983,43,15,Basel,Switzerland,Food & Drug Stores
393,Fairfax Financial Holdings,38417,0.37,4382,2.82,91985,51044,,1,Toronto,Canada,Insurance: Property and Casualty (Stock)
394,Guangzhou Industrial Investment Holdings,38345,0.05,151,-0.36,48958,88440,20,2,Guangzhou,China,Diversified Financials
395,PBF Energy,38325,-0.18,2141,-0.26,14388,3776,-89,3,Parsippany,United States,Petroleum Refining
396,Standard Chartered,38292,0.54,3469,0.18,822844,84958,,10,London,United Kingdom,Commercial Banks
397,Xiaomi,38277,-0.08,2469,5.71,45683,33627,-37,6,Beijing,China,"Electronics, Electrical Equipment"
398,Compass Group,38005,0.17,1610,0.13,21490,562460,71,22,Chertsey,United Kingdom,Business Services
399,Meiji Yasuda Life Insurance,37897,-0.05,1062,0.68,349494,47140,-24,30,Tokyo,Japan,Life and Health Insurance
400,GSK,37692,-0.12,6125,-0.67,75204,70212,-57,30,Brentford,United Kingdom,Pharmaceuticals
401,Suncor Energy,37609,-0.16,6148,-0.12,67156,14906,-74,14,Calgary,Canada,Petroleum Refining
402,Hangzhou Industrial Investment Group,37398,0.42,364,0.08,12096,4056,,1,Hangzhou,China,Diversified Financials
403,Uber Technologies,37281,0.17,1887,,38699,30400,74,2,San Francisco,United States,Internet Services and Retailing
404,DZ Bank,37221,0.32,2303,1.12,711938,29901,,29,Frankfurt,Germany,Commercial Banks
405,GS Caltex,37217,-0.18,883,-0.59,18775,3268,-83,12,Seoul,South Korea,Petroleum Refining
406,Suzuki Motor,37185,0.08,1852,0.13,35615,72372,35,30,Hamamatsu,Japan,Motor Vehicles & Parts
407,Haier Smart Home,36929,0.02,2344,0.07,35698,112458,12,7,Qingdao,China,Household Products
408,X5 Retail Group,36922,-0.02,919,0.41,17659,372200,-10,5,Moscow,Russia,Food & Drug Stores
409,La Poste,36835,-0.01,556,-0.56,845509,232726,-6,29,Paris,France,Transportation
410,Hangzhou Iron and Steel Group,36772,0,197,-0.2,14863,11492,1,3,Hangzhou,China,Materials
411,Shanghai Pharmaceuticals Holding,36769,0.07,532,-0.36,29865,48164,27,5,Shanghai,China,Pharmaceuticals
412,Shandong Hi-Speed Group,36744,0.07,492,0.11,213269,56432,28,3,Jinan,China,Engineering & Construction
413,Honeywell International,36662,0.03,5658,0.14,61525,95000,12,30,Charlotte,United States,"Electronics, Electrical Equipment"
414,Guangdong Guangxin Holdings,36609,0.04,86,-0.76,17394,44837,13,2,Guangzhou,China,Diversified
415,S.F. Holding,36502,-0.08,1163,0.27,31206,153125,-38,3,Shenzhen,China,Transportation
416,Mitsubishi Electric,36380,-0.02,1972,0.25,40784,149134,-9,30,Tokyo,Japan,"Electronics, Electrical Equipment"
417,Guangzhou Pharmaceutical Holdings,36310,0.03,324,0.04,11795,35391,9,4,Guangzhou,China,Pharmaceuticals
418,China Datang,36266,-0.04,333,0.83,122382,87991,-22,15,Beijing,China,Utilities
419,Mapfre Group,36098,0.46,732,0.08,60688,30873,,15,Majadahonda,Spain,Insurance: Property and Casualty (Stock)
420,CFE,36078,0.17,5482,,137340,92054,,14,Mexico City,Mexico,Utilities
421,Jardine Matheson,36049,-0.04,686,0.94,89182,443000,-26,25,Hong Kong,China,Diversified
422,Mondelez International,36016,0.14,4959,0.83,71391,91000,65,17,Chicago,United States,"Food, Beverages & Tobacco"
423,Daiwa House Industry,35999,-0.01,2067,-0.09,43207,48483,-5,20,Osaka,Japan,Engineering & Construction
424,Starbucks,35976,0.12,4125,0.26,29446,381000,49,4,Seattle,United States,Food Services
425,Olam Group,35953,-0.1,208,-0.55,25287,65980,-49,4,Singapore,Singapore,Food Production
426,Qualcomm,35820,-0.19,7232,-0.44,51040,50000,-92,7,San Diego,United States,Semiconductors and Other Electronic Components
427,Broadcom,35819,0.08,14082,0.23,72861,20000,35,2,San Jose,United States,Semiconductors and Other Electronic Components
428,JFE Holdings,35804,-0.08,1366,0.14,38057,62218,-46,22,Tokyo,Japan,Materials
429,Hailiang Group,35702,0.16,32,-0.36,10308,26727,,5,Zhuji,China,Metals
430,US Foods Holding,35597,0.05,506,0.91,13187,30000,16,7,Rosemont,United States,Wholesalers: Food
431,ELO Group,35569,-0.01,-410,-12.81,22956,145025,-8,28,Dortmund,Germany,Food & Drug Stores
432,Migros Group,35563,0.13,206,-0.58,95606,72523,53,30,Zurich,Switzerland,Food & Drug Stores
433,Mercadona,35525,0.19,1091,0.44,14943,98700,,2,Valencia,Spain,Food & Drug Stores
434,D.R. Horton,35460,0.06,4746,-0.19,32582,13450,21,4,Arlington,United States,Engineering & Construction
435,China Electronics,35391,-0.12,27,,61089,183469,-67,14,Beijing,China,"Electronics, Electrical Equipment"
436,Shudao Investment Group,35379,-0.07,686,0.06,188446,55878,-47,3,Chengdu,China,Engineering & Construction
437,China National Coal Group,35364,-0.16,2154,0.15,73995,144531,-81,5,Beijing,China,"Mining, Crude-Oil Production"
438,TongLing Nonferrous Metals Group,35245,0.02,60,10.94,14236,21443,-2,6,Tongling,China,"Mining, Crude-Oil Production"
439,CK Hutchison Holdings,35200,0.05,3002,-0.36,148416,300000,14,9,Hong Kong,China,Diversified
440,Philip Morris International,35174,0.11,7813,-0.14,65304,82700,40,16,Stamford,United States,"Food, Beverages & Tobacco"
441,Paccar,35127,0.22,4601,0.53,40823,32400,,4,Bellevue,United States,Motor Vehicles & Parts
442,PDD Holdings,34981,0.8,8479,0.81,49040,17403,,1,Dublin,Ireland,Internet Services and Retailing
443,CRH,34949,0.05,3178,-0.18,47469,78500,16,21,Dublin,Ireland,"Building Materials, Glass"
444,Quanta Computer,34860,-0.19,1274,0.31,22518,56708,-99,19,Taoyuan,Taiwan,"Electronics, Electrical Equipment"
445,Salesforce,34857,0.11,4136,18.89,99823,72682,46,2,San Francisco,United States,Computer Software
446,AIA Group,34851,0.82,3764,12.35,286319,27320,,9,Hong Kong,China,Life and Health Insurance
447,Nucor,34714,-0.16,4525,-0.41,35341,32000,-86,5,Charlotte,United States,Materials
448,Jabil,34702,0.04,818,-0.18,19424,236000,8,4,St. Petersburg,United States,"Electronics, Electrical Equipment"
449,National Australia Bank,34550,0.86,4934,0.01,682707,38516,,25,Melbourne,Australia,Commercial Banks
450,SAP,34542,0.06,6637,1.76,75475,107602,22,9,Walldorf,Germany,Computer Software
451,CRRC Group,34520,-0.01,862,-0.05,76602,165344,-17,6,Beijing,China,Motor Vehicles & Parts
452,Shanghai Delong Steel Group,34400,0.03,223,-0.12,21815,42843,-1,3,Shanghai,China,Materials
453,Lennar,34233,0.02,3939,-0.15,39234,12284,-3,4,Miami,United States,Engineering & Construction
454,Sompo Holdings,34136,0,2879,3.28,98087,48421,-7,28,Tokyo,Japan,Insurance: Property and Casualty (Stock)
455,Eli Lilly,34124,0.2,5240,-0.16,64006,43000,,16,Indianapolis,United States,Pharmaceuticals
456,Korea Gas,34115,-0.15,-583,-1.5,44198,4163,-82,9,Daegu,South Korea,Utilities
457,Molina Healthcare,34072,0.07,1091,0.38,14892,18000,18,2,Long Beach,United States,Health Care: Insurance and Managed Care
458,Beijing Jianlong Heavy Industry Group,34070,0.04,139,-0.39,26733,57863,7,4,Beijing,China,Materials
459,Cummins,34065,0.21,735,-0.66,32005,75500,,1,Columbus,United States,Motor Vehicles & Parts
460,Shaanxi Construction Engineering Holding,34061,-0.02,353,-0.1,61076,41390,-28,2,Xi'an,China,Engineering & Construction
461,Rabobank Group,34043,0.54,4635,0.89,677928,49132,,26,Utrecht,Netherlands,Commercial Banks
462,Aisin,33970,0.04,628,1.26,30704,115140,8,23,Kariya,Japan,Motor Vehicles & Parts
463,Rajesh Exports,33944,-0.2,41,-0.77,2648,141,-110,9,Bengaluru,India,Specialty Retailers: Other
464,British American Tobacco,33907,-0.01,-17855,-3.17,151308,49839,-19,27,London,United Kingdom,"Food, Beverages & Tobacco"
465,CPC,33904,-0.14,-657,,34350,17142,-87,23,Taipei,Taiwan,Petroleum Refining
466,Bank of New York Mellon,33805,0.69,3286,0.28,409953,53400,,1,New York,United States,Commercial Banks
467,Tongwei Group,33731,0.06,594,-0.64,25094,58329,9,2,Chengdu,China,"Mining, Crude-Oil Production"
468,Netflix,33723,0.07,5408,0.2,48732,13000,16,4,Los Gatos,United States,Media
469,Novo Nordisk,33704,0.35,12143,0.55,46607,63845,,1,Bagsværd,Denmark,Pharmaceuticals
470,Shougang Group,33621,-0.09,344,0.82,74249,83509,-60,13,Beijing,China,Materials
471,Shanxi Coking Coal Group,33533,-0.2,1253,2.53,73316,214937,-112,11,Taiyuan,China,"Mining, Crude-Oil Production"
472,Guangxi Investment Group,33428,0.07,68,-0.19,113541,32241,23,5,Nanning,China,Diversified
473,VTB Bank,33420,0.73,4936,,327760,76100,,4,Moscow,Russia,Commercial Banks
474,Mazda Motor,33403,0.18,1437,0.36,25075,48685,,28,Fuchu,Japan,Motor Vehicles & Parts
475,Hunan Iron & Steel Group,33345,0.02,834,-0.29,24473,36114,-9,3,Changsha,China,Materials
476,Power Corp. of Canada,33265,-0.11,1665,0.1,568475,40300,-77,26,Montreal,Canada,Life and Health Insurance
477,Truist Financial,33246,0.31,-1091,-1.17,535349,49935,,2,Charlotte,United States,Commercial Banks
478,Siemens Energy,33185,0.06,-4833,,50695,94000,12,4,Munich,Germany,Utilities
479,Schlumberger,33135,0.18,4203,0.22,47957,111000,,21,Houston,United States,"Mining, Crude-Oil Production"
480,Ecopetrol,33127,-0.12,4872,-0.35,72404,19657,-83,7,Bogotá,Colombia,"Mining, Crude-Oil Production"
481,Arrow Electronics,33107,-0.11,904,-0.37,21726,22100,-77,11,Centennial,United States,Wholesalers: Electronics and Office Equipment
482,Jeronimo Martins,33089,0.24,817,0.32,15791,134379,,1,Lisbon,Portugal,Food & Drug Stores
483,China National Aviation Fuel Group,32984,0.04,99,-0.76,10700,13694,,13,Beijing,China,Petroleum Refining
484,Commonwealth Bank of Australia,32981,0.5,6789,-0.13,834520,49454,,18,Sydney,Australia,Commercial Banks
485,Centrica,32882,0.12,4883,,27232,21014,,25,Windsor,United Kingdom,Utilities
486,Linde,32854,-0.02,6199,0.5,80811,66323,-26,5,Guildford,United Kingdom,Chemicals
487,Heineken,32823,0.09,1269,-0.1,60479,89732,,15,Amsterdam,Netherlands,"Food, Beverages & Tobacco"
488,Luxshare Precision Industry,32759,0.03,1547,0.14,22823,232585,-9,2,Dongguan,China,"Electronics, Electrical Equipment"
489,3M,32681,-0.05,-6995,-2.21,50580,85000,-46,30,St. Paul,United States,Industrial and Farm Equipment
490,Visa,32653,0.11,17273,0.16,90499,28800,,1,San Francisco,United States,Diversified Financials
491,Apollo Global Management,32644,1.81,5047,,313488,6855,,1,New York,United States,Financials
492,Emirates Group,32638,0.12,4692,0.63,44635,112406,,5,Dubai,United Arab Emirates,Transportation
493,Vibra Energia,32634,-0.07,955,2.21,8961,3526,-64,2,Rio de Janeiro,Brazil,Petroleum Refining
494,Metro,32579,0.01,468,,12326,81834,-20,7,Düsseldorf,Germany,Food & Drug Stores
495,Subaru,32540,0.17,2664,0.8,31835,37693,,20,Tokyo,Japan,Motor Vehicles & Parts
496,Air France-KLM Group,32452,0.17,1010,0.32,38094,76271,,25,Paris,France,Transportation
497,Enbridge,32350,-0.21,4588,0.99,136770,12450,-132,11,Calgary,Canada,Utilities
498,ABB,32235,0.1,3745,0.51,40940,107900,,29,Zurich,Switzerland,"Electronics, Electrical Equipment"
499,Mitsubishi Heavy Industries,32223,0.04,1536,0.59,41372,77697,,30,Tokyo,Japan,Engineering & Construction
500,Samsung C&T,32078,-0.04,1699,0.07,51047,18685,-43,8,Seoul,South Korea,Engineering & Construction
