Rank,Company,RevenueMil,RevenuePerCng,ProfitsMil,ProfitsPerCng,AssetsMil,EmployeeCount,RankCng,YearsOnList,Hqcity,HqCountry,IndustrySector
60,Walgreens Boots Alliance,139081,0.05,-3080,-1.71,96628,268500,6,30,Deerfield,United States,Food & Drug Stores
61,Valero Energy,139001,-0.19,8835,-0.23,63056,9897,-21,24,San Antonio,United States,Petroleum Refining
62,Banco Santander,137245,0.38,11974,0.19,1984827,207206,42,30,Madrid,Spain,Commercial Banks
63,China Communications Construction,136671,-0.01,1672,0.33,361453,219034,,17,Beijing,China,Engineering & Construction
64,BNP Paribas,136076,0.52,11865,0.11,2862270,182656,63,30,Paris,France,Commercial Banks
65,Mitsubishi,135390,-0.15,6670,-0.24,155135,80037,-20,30,Tokyo,Japan,Trading
66,Meta Platforms,134902,0.16,39098,0.69,229623,67317,15,8,Menlo Park,United States,Internet Services and Retailing
67,HSBC Holdings,134901,0.54,23533,0.47,3038677,220861,63,30,London,United Kingdom,Commercial Banks
68,Verizon Communications,133974,-0.02,11614,-0.45,380255,105400,-4,30,New York,United States,Telecommunications
69,China Minmetals,132020,-0.01,766,-0.13,159609,175524,-4,18,Beijing,China,Materials
70,Alibaba Group,131338,0.04,11165,0.05,244426,204891,-2,8,Hangzhou,China,Internet Services and Retailing
71,CITIC Group,131242,0.3,4125,0.06,1617681,213290,29,16,Beijing,China,Diversified Financials
72,China Resources,126170,0.04,3798,-0.19,367034,394112,2,15,Hong Kong,China,Diversified
73,Hyundai Motor,124577,0.13,9159,0.61,218048,73502,12,29,Seoul,South Korea,Motor Vehicles & Parts
74,AT&T,122428,0.01,14400,,407060,150470,4,30,Dallas,United States,Telecommunications
75,Shandong Energy Group,122383,-0.01,830,24.46,141176,214409,-3,7,Jinan,China,"Mining, Crude-Oil Production"
76,Comcast,121572,0,15388,1.87,264811,186000,1,22,Philadelphia,United States,Telecommunications
77,Deutsche Telekom,121046,0.01,19230,1.29,320637,199652,2,30,Bonn,Germany,Telecommunications
78,China Southern Power Grid,118814,0.05,2342,0.55,173039,268471,5,20,Guangzhou,China,Utilities
79,Uniper,116663,-0.6,6819,,60704,6863,-63,6,Dusseldorf,Germany,Utilities
80,Wells Fargo,115340,0.39,19142,0.45,1932468,226000,64,27,San Francisco,United States,Commercial Banks
81,Hengli Group,114665,0.26,981,1.75,52686,173250,42,8,Suzhou,China,Industrials
82,Allianz,113518,-0.12,9233,0.3,1085900,157883,-15,30,Munich,Germany,Insurance: Property and Casualty (Stock)
83,China Post Group,112779,0.02,5885,0.2,2310572,728776,3,14,Beijing,China,Transportation
84,China Energy Investment,112049,-0.08,6339,0.11,294883,309037,-8,15,Beijing,China,Energy
85,Xiamen C&D,110666,-0.12,1058,1.33,125003,62740,-16,8,Xiamen,China,Trading
86,Reliance Industries,108878,-0.01,8413,0.01,210699,347000,2,21,Mumbai,India,Petroleum Refining
87,Goldman Sachs Group,108418,0.58,8516,-0.24,1641594,45300,98,25,New York,United States,Commercial Banks
88,Freddie Mac,108050,0.25,10538,0.13,3280976,8020,45,28,McLean,United States,Diversified Financials
89,Rosneft Oil,107543,,14870,,209570,323900,,18,Moscow,Russia,"Mining, Crude-Oil Production"
90,Target,107412,-0.02,4138,0.49,55356,415000,,30,Minneapolis,United States,General Merchandisers
91,Equinor,107174,-0.29,11885,-0.59,143580,23449,-35,30,Stavanger,Norway,"Mining, Crude-Oil Production"
92,Humana,106374,0.15,2489,-0.11,47065,67600,24,26,Louisville,United States,Health Care: Insurance and Managed Care
93,SAIC Motor,105196,-0.05,1993,-0.17,141826,149505,-9,13,Shanghai,China,Motor Vehicles & Parts
94,State Farm Insurance,104199,0.17,-6272,,339485,65054,34,30,Bloomington,United States,Insurance: Property and Casualty (Mutual)
95,Life Insurance Corp. of India,103548,0.05,4944,0.1,637867,98463,12,3,Mumbai,India,Life and Health Insurance
96,Nestle,103505,0.05,12475,0.29,150422,270000,10,30,Vevey,Switzerland,"Food, Beverages & Tobacco"
97,Enel,103311,-0.3,3717,1.1,215622,61055,-38,30,Rome,Italy,Utilities
98,ENI,102502,-0.27,5158,-0.65,157506,33142,-37,30,Rome,Italy,Energy
99,Petrobras,102409,-0.18,24884,-0.32,217067,46730,-28,30,Rio de Janeiro,Brazil,"Mining, Crude-Oil Production"
100,SK,101969,-0.04,-595,-1.7,159771,114950,-8,9,Seoul,South Korea,Diversified
101,E.ON,101280,-0.17,559,-0.71,125366,72242,-28,30,Essen,Germany,Utilities
102,Gazprom,100253,-0.4,-7383,-1.42,320303,492200,-61,28,St. Petersburg,Russia,"Mining, Crude-Oil Production"
103,Huawei Investment & Holding,99470,0.04,12274,1.32,178027,207000,8,15,Shenzhen,China,Telecommunications
104,Societe Generale,99163,0.56,2695,0.27,1716418,124089,104,28,Paris,France,Commercial Banks
105,Bosch Group,99021,0.07,2271,0.66,119649,429416,13,30,Gerlingen,Germany,Motor Vehicles & Parts
106,COFCO,97765,-0.11,1270,-0.28,102941,111630,-19,30,Beijing,China,Food Production
107,Itochu,97074,-0.06,5548,-0.06,95819,136334,-11,30,Tokyo,Japan,Trading
108,PowerChina,97035,-0.02,776,0.25,198669,184567,-3,13,Beijing,China,Engineering & Construction
109,Pemex,96979,-0.18,457,-0.91,136068,128616,-29,30,Mexico City,Mexico,"Mining, Crude-Oil Production"
110,Tesla,96773,0.19,14997,0.19,106618,140473,42,4,Austin,United States,Motor Vehicles & Parts
111,Morgan Stanley,96194,0.46,9087,-0.18,1193693,80006,89,27,New York,United States,Commercial Banks
112,Sinopharm,96072,0.02,1150,0.04,82843,202426,1,12,Shanghai,China,Wholesalers: Health Care
113,Brookfield,95924,0.03,1130,-0.45,490095,240000,4,8,Toronto,Canada,Financials
114,Royal Ahold Delhaize,95835,0.05,2026,-0.24,52818,232000,7,30,Zaandam,Netherlands,Food & Drug Stores
115,Johnson & Johnson,95195,0,35153,0.96,167558,131900,-3,24,New Brunswick,United States,Pharmaceuticals
116,Indian Oil,94273,-0.11,5042,3.14,57878,31942,-22,30,New Delhi,India,Petroleum Refining
117,Archer Daniels Midland,93935,-0.08,3483,-0.2,54631,41008,-19,30,Chicago,United States,Food Production
118,Credit Agricole,93358,0.08,6863,0.2,2418156,75125,16,30,Montrouge,France,Commercial Banks
119,Christian Dior,93137,0.12,6815,0.12,155592,197141,24,24,Paris,France,Apparel
120,Nippon Telegraph and Telephone,92540,-0.05,8853,-0.01,195769,338467,-11,30,Tokyo,Japan,Telecommunications
121,Mitsui,92196,-0.13,7360,-0.12,111754,53602,-28,30,Tokyo,Japan,Trading
122,Carrefour,91791,0.02,1794,0.27,62040,305333,3,30,Massy,France,Food & Drug Stores
123,PepsiCo,91471,0.06,9074,0.02,100495,318000,12,30,Purchase,United States,"Food, Beverages & Tobacco"
124,United Parcel Service,90958,-0.09,6708,-0.42,70857,382550,-23,30,Atlanta,United States,"Mail, Package, and Freight Delivery"
125,PTT,90419,-0.06,3221,0.24,100741,30772,-15,21,Bangkok,Thailand,Petroleum Refining
126,AXA,90406,-0.17,7772,0.11,711784,94705,-35,30,Paris,France,"Insurance: Life, Health (stock)"
127,FedEx,90155,-0.04,3972,0.04,87143,423228,-13,30,Memphis,United States,"Mail, Package, and Freight Delivery"
128,Sony,90092,0.06,6716,-0.03,225549,113000,12,30,Tokyo,Japan,"Electronics, Electrical Equipment"
129,China FAW Group,89485,0.02,2864,-0.26,94500,119658,2,20,Changchun,China,Motor Vehicles & Parts
130,Engie,89258,-0.18,2387,9.51,214977,97297,-41,29,Courbevoie,France,Utilities
131,Walt Disney,88898,0.08,2354,-0.25,205579,199125,14,30,Burbank,United States,Media
132,Orlen,88718,0.42,4922,-0.35,67206,66554,84,16,P?ock,Poland,Petroleum Refining
133,Dell Technologies,88425,-0.14,3211,0.32,82089,120000,-36,24,Round Rock,United States,"Computers, Office Equipment"
134,DHL Group,88385,-0.11,3975,-0.3,73795,551233,-31,30,Bonn,Germany,Transportation
135,China Telecommunications,87962,0.01,2151,0.04,151917,391691,-3,25,Beijing,China,Telecommunications
136,Nissan Motor,87774,0.12,2952,0.8,131300,141855,24,30,Yokohama,Japan,Motor Vehicles & Parts
137,Royal Bank of Canada,87499,0.68,11019,-0.1,1444727,91398,133,30,Toronto,Canada,Commercial Banks
138,Zhejiang Rongsheng Holding Group,86536,0,75,-0.56,57831,23373,-2,4,Hangzhou,China,Chemicals
139,Lowe's,86377,-0.11,7726,0.2,41795,226000,-31,27,Mooresville,United States,Specialty Retailers: Other
140,Tesco,86231,0.08,1487,0.65,59498,225659,16,30,Welwyn Garden City,United Kingdom,Food & Drug Stores
141,Tencent Holdings,86028,0.04,16275,-0.42,222216,105417,6,8,Shenzhen,China,Internet Services and Retailing
142,Xiamen ITG Holding Group,85819,-0.17,179,-0.38,50244,34289,-47,8,Xiamen,China,Trading
143,BYD,85082,0.35,4244,0.72,95741,703504,69,3,Shenzhen,China,Motor Vehicles & Parts
144,Nippon Life Insurance,83090,0.17,2854,2.27,645392,85740,37,30,Osaka,Japan,Life and Health Insurance
145,Siemens,82932,0.07,8477,1.11,153510,320000,17,30,Munich,Germany,Industrials
146,Japan Post Holdings,82906,0.01,1859,-0.42,1975196,221387,2,28,Tokyo,Japan,Financials
147,Aviation Industry Corp. of China,82654,0.01,1644,0.08,187461,384000,3,16,Beijing,China,Aerospace & Defense
148,Mitsubishi UFJ Financial Group,82270,0.2,10315,0.25,2669641,145412,39,23,Tokyo,Japan,Commercial Banks
149,Procter & Gamble,82006,0.02,14653,-0.01,120829,107000,5,30,Cincinnati,United States,Household Products
150,Wuchan Zhongda Group,81952,-0.04,511,-0.12,23407,26354,-12,14,Hangzhou,China,Trading
151,Seven & I Holdings,80125,-0.09,1569,-0.25,70789,117540,-22,19,Tokyo,Japan,Food & Drug Stores
152,Albertsons,79238,0.02,1296,-0.14,26221,196650,12,20,Boise,United States,Food & Drug Stores
153,ENEOS Holdings,79021,-0.14,1994,0.88,67032,50269,-31,30,Tokyo,Japan,Petroleum Refining
154,Bank of Communications,78757,0.01,13099,-0.04,1980962,94275,7,16,Shanghai,China,Commercial Banks
155,Energy Transfer,78586,-0.13,3935,-0.17,113698,13786,-29,11,Dallas,United States,Utilities
156,U.S. Postal Service,78383,0,-6478,-1.12,45289,582781,3,30,Washington,United States,Transportation
